Time,Empty,Time,Si_chip,Time,Paper+Si
7.8078353,2.09111,23.69035259,1.27966,24.22421939,0.925254
7.8745353,1.94297,23.75708594,1.08026,24.29095274,0.854407
7.941302,2.36927,23.82381929,1.11033,24.35768609,0.915146
8.008002,2.54914,23.89055264,1.60837,24.42441944,0.936425
8.0747687,2.34152,23.95728599,1.59872,24.49115279,0.915291
8.1414687,2.21598,24.02401934,1.54144,24.55788614,1.01859
8.2082354,2.18712,24.09075269,1.52347,24.62461949,1.06411
8.2749354,2.05199,24.15748604,1.352,24.69135284,0.984065
8.3417021,2.02993,24.22421939,1.37115,24.75808619,0.923227
8.4084021,1.89285,24.29095274,1.28027,24.82481954,0.800829
8.4751688,1.93691,24.35768609,1.24095,24.89155289,0.880098
8.5418688,1.91543,24.42441944,1.39203,24.95828624,0.860142
8.6086355,1.76258,24.49115279,1.29295,25.02501959,0.904351
8.6753355,1.60152,24.55788614,1.05486,25.09175628,0.824985
8.7421022,1.53281,24.62461949,0.899223,25.15848963,0.815731
8.8088022,1.72563,24.69135284,1.27183,25.22522298,0.84786
8.8755689,1.53804,24.75808619,1.23306,25.29195633,0.787622
8.9422689,1.51072,24.82481954,1.1126,25.35868968,0.761079
9.0090356,1.37003,24.89155289,0.878426,25.42542303,0.642032
9.0757356,1.27985,24.95828624,0.732109,25.49215638,0.519133
9.1425023,1.27008,25.02501959,0.724838,25.55888973,0.438561
9.2092023,1.39922,25.09175628,0.809105,25.62562308,0.424384
9.275969,1.52784,25.15848963,1.14295,25.69235643,0.496604
9.342669,1.46249,25.22522298,1.28167,25.75908978,0.536892
9.4094357,1.07415,25.29195633,0.94101,25.82582313,0.5931
9.4761357,0.990938,25.35868968,0.555588,25.89255648,0.57635
9.5429024,1.15023,25.42542303,0.739082,25.95928983,0.532741
9.6096024,1.18869,25.49215638,0.997894,26.02602318,0.535334
9.6763691,1.08498,25.55888973,0.805031,26.09275653,0.486312
9.7430691,0.844732,25.62562308,0.483887,26.15948988,0.469514
9.8098358,0.697116,25.69235643,0.419167,26.22622323,0.436339
9.8765358,0.804473,25.75908978,0.448608,26.29295658,0.315423
9.9433025,1.01787,25.82582313,0.687859,26.35968993,0.351548
10.0100025,0.909126,25.89255648,0.812546,26.42642661,0.419374
10.0767692,0.634707,25.95928983,0.610504,26.49315996,0.490527
10.1434692,0.48206,26.02602318,0.376457,26.55989331,0.419467
10.2102359,0.385538,26.09275653,0.301544,26.62662666,0.35186
10.2769359,0.425663,26.15948988,0.2267,26.69336001,0.268488
10.3437026,0.70511,26.22622323,0.496582,26.76009336,0.2198
10.4104026,0.614441,26.29295658,0.606094,26.82682671,0.31821
10.4771693,0.376053,26.35968993,0.358917,26.89356006,0.39331
10.5438693,0.437602,26.42642661,0.169029,26.96029341,0.432979
10.610636,0.577277,26.49315996,0.535347,27.02702676,0.427303
10.677336,0.584999,26.55989331,0.581169,27.09376011,0.455752
10.7441027,0.637655,26.62662666,0.600136,27.16049346,0.477451
10.8108027,0.492085,26.69336001,0.552582,27.22722681,0.482951
10.8775694,0.215424,26.76009336,0.338722,27.29396016,0.501469
10.9442694,0.348323,26.82682671,0.406456,27.36069351,0.470814
11.0110361,0.512878,26.89356006,0.575714,27.42742686,0.331542
11.0777361,0.310427,26.96029341,0.505379,27.49416021,0.426878
11.1445028,0.257613,27.02702676,0.383217,27.56089356,0.324857
11.2112028,0.258805,27.09376011,0.170731,27.62762691,0.346018
11.2779695,0.328801,27.16049346,0.335106,27.69436026,0.32451
11.3446695,0.254252,27.22722681,0.428436,27.76109361,0.348988
11.4114362,0.214728,27.29396016,0.252403,27.82782696,0.357499
11.4781362,0.350643,27.36069351,0.441063,27.89456031,0.409209
11.5449029,0.0769145,27.42742686,0.457664,27.96129366,0.384281
