Time,Empty,Time,Si_chip,Time,Paper Only,Time,Paper+Si
5.8058348,-5.31647,21.68835209,-3.54908,6.3397016,-3.68196,22.22221889,-2.3476
5.8725348,-5.11104,21.75508544,-3.59372,6.4064016,-3.84565,22.28895224,-2.5304
5.9393015,-4.81441,21.82181879,-3.2998,6.4731683,-3.88896,22.35568559,-2.64457
6.0060015,-4.59232,21.88855214,-3.40189,6.5398683,-3.99636,22.42241894,-2.82807
6.0727682,-4.37932,21.95528549,-3.30291,6.606635,-4.04109,22.48915229,-2.98523
6.1394682,-3.9886,22.02201884,-3.19761,6.673335,-3.99823,22.55588564,-3.07331
6.2062349,-3.37071,22.08875219,-2.64965,6.7401017,-3.92625,22.62261899,-2.99118
6.2729349,-3.19496,22.15548554,-2.45814,6.8068017,-3.42988,22.68935234,-2.84735
6.3397016,-2.77211,22.22221889,-2.2656,6.8735684,-3.09383,22.75608569,-2.60208
6.4064016,-2.34393,22.28895224,-1.85797,6.9402684,-2.67182,22.82281904,-2.40619
6.4731683,-2.03227,22.35568559,-1.72528,7.0070351,-2.35731,22.88955239,-2.20066
6.5398683,-1.57149,22.42241894,-1.49237,7.0737351,-1.94862,22.95628574,-1.94429
6.606635,-1.07176,22.48915229,-1.17767,7.1405018,-1.56216,23.02301909,-1.68355
6.673335,-0.573533,22.55588564,-0.670502,7.2072018,-1.24192,23.08975244,-1.3403
6.7401017,-0.436517,22.62261899,-0.632965,7.2739685,-0.760834,23.15648579,-1.10607
6.8068017,-0.245339,22.68935234,-0.608841,7.3406685,-0.563576,23.22321914,-0.865418
6.8735684,0.297921,22.75608569,-0.388718,7.4074352,-0.187561,23.28995249,-0.720019
6.9402684,0.84435,22.82281904,0.0611115,7.4741352,0.112518,23.35668584,-0.31702
7.0070351,1.34262,22.88955239,0.479691,7.5409019,0.579971,23.42341919,-0.0585837
7.0737351,1.28408,22.95628574,0.881981,7.6076019,0.790672,23.49015254,0.267178
7.1405018,1.25038,23.02301909,0.510597,7.6743686,0.87323,23.55688589,0.386288
7.2072018,1.53592,23.08975244,0.62973,7.7410686,1.03882,23.62361924,0.481684
7.2739685,1.62757,23.15648579,0.750618,7.8078353,0.89901,23.69035259,0.404329
7.3406685,1.86686,23.22321914,0.841606,7.8745353,1.09334,23.75708594,0.444187
7.4074352,2.07818,23.28995249,1.22424,7.941302,1.3241,23.82381929,0.560233
7.4741352,2.09478,23.35668584,1.39713,8.008002,1.30885,23.89055264,0.682332
7.5409019,1.82441,23.42341919,1.28942,8.0747687,1.37129,23.95728599,0.721959
7.6076019,1.88904,23.49015254,1.08026,8.1414687,1.40945,24.02401934,0.842804
7.6743686,2.28756,23.55688589,1.31557,8.2082354,1.59173,24.09075269,0.902835
7.7410686,2.30917,23.62361924,1.55657,8.2749354,1.58441,24.15748604,0.889129
7.8078353,2.09111,23.69035259,1.27966,8.3417021,1.55351,24.22421939,0.925254
7.8745353,1.94297,23.75708594,1.08026,8.4084021,1.66705,24.29095274,0.854407
7.941302,2.36927,23.82381929,1.11033,8.4751688,1.62335,24.35768609,0.915146
8.008002,2.54914,23.89055264,1.60837,8.5418688,1.6928,24.42441944,0.936425
8.0747687,2.34152,23.95728599,1.59872,8.6086355,1.57964,24.49115279,0.915291
8.1414687,2.21598,24.02401934,1.54144,8.6753355,1.61666,24.55788614,1.01859
8.2082354,2.18712,24.09075269,1.52347,8.7421022,1.51747,24.62461949,1.06411
8.2749354,2.05199,24.15748604,1.352,8.8088022,1.56084,24.69135284,0.984065
8.3417021,2.02993,24.22421939,1.37115,8.8755689,1.37001,24.75808619,0.923227
8.4084021,1.89285,24.29095274,1.28027,8.9422689,1.43469,24.82481954,0.800829
8.4751688,1.93691,24.35768609,1.24095,9.0090356,1.4693,24.89155289,0.880098
8.5418688,1.91543,24.42441944,1.39203,9.0757356,1.58207,24.95828624,0.860142
8.6086355,1.76258,24.49115279,1.29295,9.1425023,1.44224,25.02501959,0.904351
8.6753355,1.60152,24.55788614,1.05486,9.2092023,1.53907,25.09175628,0.824985
8.7421022,1.53281,24.62461949,0.899223,9.275969,1.49401,25.15848963,0.815731
8.8088022,1.72563,24.69135284,1.27183,9.342669,1.37606,25.22522298,0.84786
8.8755689,1.53804,24.75808619,1.23306,9.4094357,1.27715,25.29195633,0.787622
8.9422689,1.51072,24.82481954,1.1126,9.4761357,1.31015,25.35868968,0.761079
9.0090356,1.37003,24.89155289,0.878426,9.5429024,1.25906,25.42542303,0.642032
9.0757356,1.27985,24.95828624,0.732109,9.6096024,1.16042,25.49215638,0.519133
9.1425023,1.27008,25.02501959,0.724838,9.6763691,1.08691,25.55888973,0.438561
9.2092023,1.39922,25.09175628,0.809105,9.7430691,1.17803,25.62562308,0.424384
9.275969,1.52784,25.15848963,1.14295,9.8098358,1.15401,25.69235643,0.496604
9.342669,1.46249,25.22522298,1.28167,9.8765358,1.09399,25.75908978,0.536892
9.4094357,1.07415,25.29195633,0.94101,9.9433025,0.985802,25.82582313,0.5931
9.4761357,0.990938,25.35868968,0.555588,10.0100025,0.980721,25.89255648,0.57635
9.5429024,1.15023,25.42542303,0.739082,10.0767692,0.799713,25.95928983,0.532741
9.6096024,1.18869,25.49215638,0.997894,10.1434692,0.863937,26.02602318,0.535334
