Var1,Var2,Var3
85.0109,1.1875e-05,9.625e-06
85.0186,9.625e-06,8.625e-06
85.0263,9e-06,9.375e-06
85.034,6.5e-06,8.75e-06
85.0416,8.375e-06,9.25e-06
85.0493,6.5e-06,8.75e-06
85.057,8e-06,9.375e-06
85.0647,7.625e-06,9.125e-06
85.0724,5.375e-06,8.625e-06
85.0801,6.625e-06,8.875e-06
85.0878,5.625e-06,8.875e-06
85.0955,5.375e-06,9.75e-06
85.1032,5.625e-06,9.25e-06
85.1109,6.375e-06,8.875e-06
85.1186,4.875e-06,9.375e-06
85.1263,5.25e-06,9.625e-06
85.134,5.875e-06,9.25e-06
85.1417,5.875e-06,9.625e-06
85.1494,4.125e-06,8.25e-06
85.1571,5.75e-06,9.625e-06
85.1648,5.75e-06,9.25e-06
85.1725,5e-06,9e-06
85.1802,6.875e-06,1.0125e-05
85.1879,5.25e-06,9.375e-06
85.1956,4.75e-06,8.5e-06
85.2033,5.625e-06,8.875e-06
85.211,7.125e-06,9.25e-06
85.2187,8.75e-06,1.0125e-05
85.2264,7.75e-06,8.875e-06
85.2341,1.0375e-05,1.0625e-05
85.2418,8.25e-06,8e-06
85.2495,1e-05,9.375e-06
85.2572,1.0625e-05,9.125e-06
85.2649,7.75e-06,9.25e-06
85.2726,9.25e-06,9.75e-06
85.2803,9.875e-06,9e-06
85.288,8.5e-06,9.25e-06
85.2957,7.375e-06,8.125e-06
85.3034,6.625e-06,8.875e-06
85.3111,8.125e-06,9e-06
85.3188,8e-06,9.25e-06
85.3265,8e-06,8.875e-06
85.3342,8.75e-06,9.25e-06
85.3419,7.125e-06,9e-06
85.3496,9.5e-06,9.75e-06
85.3573,7.625e-06,9.625e-06
85.365,8.75e-06,9.125e-06
85.3727,8.125e-06,8.75e-06
85.3804,8.375e-06,1.025e-05
85.3881,6.875e-06,8.75e-06
85.3958,1e-05,9.875e-06
85.4035,8.25e-06,9e-06
85.4112,9.625e-06,1.0125e-05
85.4189,7.75e-06,9.5e-06
85.4266,8.875e-06,9.125e-06
85.4343,8.375e-06,9e-06
85.442,7.25e-06,9e-06
85.4497,8.125e-06,8.875e-06
85.4574,6.25e-06,8.875e-06
85.465,7e-06,9.125e-06
85.4727,4.75e-06,8.5e-06
85.4804,6.75e-06,9e-06
85.4881,5.375e-06,8.375e-06
85.4958,6.625e-06,8.875e-06
85.5035,6.75e-06,9.25e-06
85.5112,7.625e-06,9.625e-06
85.5189,7.875e-06,9.5e-06
85.5266,8.375e-06,9.5e-06
85.5343,8.25e-06,9.75e-06
85.542,8.375e-06,9.125e-06
85.5497,7.625e-06,9.75e-06
85.5574,5.375e-06,9.125e-06
85.5651,4.125e-06,8.875e-06
85.5728,5.25e-06,9.875e-06
85.5805,3.75e-06,8.375e-06
85.5882,5.375e-06,8.75e-06
85.5959,5.5e-06,9e-06
85.6036,9.125e-06,1.1e-05
85.6113,7.375e-06,9.375e-06
85.619,5.625e-06,8.875e-06
85.6267,6.375e-06,9.5e-06
85.6344,4.375e-06,9.125e-06
85.6421,4.375e-06,9.375e-06
85.6498,4.375e-06,9.875e-06
85.6575,3.125e-06,8.75e-06
85.6652,2.875e-06,8.5e-06
85.6729,2.25e-06,8e-06
85.6806,2.75e-06,7.625e-06
85.6883,4.25e-06,8.875e-06
85.696,3.5e-06,9.25e-06
85.7037,4e-06,7.75e-06
85.7114,4.875e-06,9.375e-06
85.7191,5.875e-06,9e-06
85.7268,4.75e-06,9.375e-06
85.7345,5.25e-06,9e-06
85.7422,5.375e-06,1.0125e-05
85.7499,5.75e-06,8.375e-06
85.7576,5e-06,8.875e-06
85.7653,6.625e-06,9.375e-06
85.773,5.875e-06,8.75e-06
85.7807,6.75e-06,9.375e-06
85.7884,5e-06,8.375e-06
85.7961,5.875e-06,8.875e-06
85.8038,6.875e-06,9.875e-06
85.8115,4.875e-06,9.375e-06
85.8192,6.375e-06,9.5e-06
85.8269,8.125e-06,9.25e-06
85.8346,6.625e-06,8.375e-06
85.8423,7.125e-06,9e-06
85.85,8.25e-06,9.375e-06
85.8577,6.25e-06,9.25e-06
85.8654,8.125e-06,9.5e-06
85.8731,7.625e-06,9.125e-06
85.8808,8.375e-06,1.0125e-05
85.8885,6.5e-06,9.125e-06
85.8961,4.25e-06,8.75e-06
85.9039,4.75e-06,9.875e-06
85.9116,5.125e-06,1.0375e-05
85.9193,4.75e-06,9.5e-06
85.9269,5e-06,8.875e-06
85.9346,6.375e-06,9.875e-06
85.9423,3.625e-06,8.875e-06
85.95,7e-06,9.375e-06
85.9577,7.125e-06,1.0125e-05
85.9654,5.625e-06,9.25e-06
85.9731,6.75e-06,9e-06
85.9808,5.375e-06,8.25e-06
85.9885,8.5e-06,8.5e-06
85.9962,8.25e-06,9.375e-06
86.0039,6.75e-06,8.75e-06
86.0116,5.5e-06,8.875e-06
86.0193,7e-06,8.875e-06
86.027,7.375e-06,8.5e-06
86.0347,7.875e-06,9.375e-06
86.0424,8.5e-06,9e-06
86.0501,7.5e-06,8.375e-06
86.0578,6.5e-06,8.75e-06
86.0655,6.625e-06,9.25e-06
86.0732,6.5e-06,8.625e-06
86.0809,5.875e-06,8.75e-06
86.0886,6.375e-06,8.875e-06
86.0963,7.125e-06,9.125e-06
86.104,7.75e-06,8.875e-06
86.1117,9.5e-06,9.875e-06
86.1194,7.75e-06,9e-06
86.1271,8.5e-06,9.25e-06
86.1348,8.375e-06,8.875e-06
86.1425,9.25e-06,9e-06
86.1502,1.05e-05,9.25e-06
86.1579,7.25e-06,1e-05
86.1656,6.25e-06,8.875e-06
86.1733,4.375e-06,8.875e-06
86.181,6.875e-06,9.625e-06
86.1887,4.875e-06,8.75e-06
86.1964,5.25e-06,9.875e-06
86.2041,3.625e-06,8.5e-06
86.2118,4e-06,8.5e-06
86.2195,5e-06,9.375e-06
86.2272,5.5e-06,8.625e-06
86.2349,7.75e-06,8.5e-06
86.2426,7.5e-06,8.125e-06
86.2503,8.875e-06,9e-06
86.258,8.875e-06,9.375e-06
86.2657,1.075e-05,9.5e-06
86.2734,9.875e-06,9.75e-06
86.2811,8.125e-06,8.875e-06
86.2888,7.375e-06,9.125e-06
86.2965,6.625e-06,1.0125e-05
86.3042,4.875e-06,8.875e-06
86.3119,5.75e-06,9.625e-06
86.3196,4.75e-06,8.625e-06
86.3273,5.875e-06,9e-06
86.335,6.5e-06,9.625e-06
86.3427,8.625e-06,9.25e-06
86.3503,9.75e-06,9e-06
86.358,6.5e-06,8.625e-06
86.3657,9.375e-06,8.75e-06
86.3734,9.625e-06,9.375e-06
86.3811,9.875e-06,9e-06
86.3888,9.5e-06,9.25e-06
86.3965,8.375e-06,9.375e-06
86.4042,1.2e-05,9.5e-06
86.4119,8.875e-06,9e-06
86.4196,1.05e-05,9.875e-06
86.4273,6.375e-06,9.125e-06
86.435,5.25e-06,8.75e-06
86.4427,4.75e-06,9.25e-06
86.4504,4.375e-06,9e-06
86.4581,3.25e-06,8.625e-06
86.4658,3.625e-06,9.5e-06
86.4735,2.875e-06,9.5e-06
86.4812,4.125e-06,9.875e-06
86.4889,4.375e-06,1e-05
86.4966,4.25e-06,8.75e-06
86.5043,6.5e-06,1.025e-05
86.512,6.75e-06,8.875e-06
86.5197,7.25e-06,8.625e-06
86.5274,6.875e-06,9.375e-06
86.5351,7.125e-06,9.5e-06
86.5428,8.125e-06,9.875e-06
86.5505,6.75e-06,9.5e-06
86.5582,7.375e-06,9e-06
86.5659,6.375e-06,8.75e-06
